Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
Каберне Совиньон Noble Selection,Красное,Насыщенный рубиново-вишневый,Кубань,Каберне Совиньон,"Вкус: Элегантный, гармоничный, с чуть шероховатыми танинами, с фруктовыми нотами черных ягод, вишни в шоколада. Послевкусие длительное, ягодно-фруктовое. Интенсивный, теплый, фруктовый, с оттенками конфитюров, красной черешни, вишневого сока, голубики, черной смородины и черничного джема с нотами осенней листвы.",Golubitskoe Estate,golubitskoe-estate-kaberne-sovinon-noble-selection-krasnoe-suhoe-133,golubitskoe-estate-kaberne-sovinon-noble-selection-krasnoe-suhoe-133.webp,prod-svoe-vino-strapi\golubitskoe_estate_kaberne_sovinon_noble_selection_krasnoe_suhoe_133_f0984d4c21.webp,ok,1,False,
Каберне совиньон Блан де Нуар,Белое,Светло-соломенныый,Крым,Каберне Совиньон,"В аромате зелёное яблоко, свежескошенная трава. Вкус лёгкий, сбалансированный, с хорошей кислотностью, округлый, с тонами красных ягод, зеленого яблока.",Вилла Уркуста,villa-urkusta-kaberne-sovinon-blan-de-nuar-beloe-suhoe-13,villa-urkusta-kaberne-sovinon-blan-de-nuar-beloe-suhoe-13.webp,prod-svoe-vino-strapi\villa_urkusta_kaberne_sovinon_blan_de_nuar_beloe_suhoe_13_f33f9ea57b.webp,ok,1,False,
Каберне Совиньон Гранд Резерв,Красное,Насыщенный рубиновый,Крым,Каберне Совиньон,"Вкус: Гармоничный, с нотами джема из тёмных фруктов со сливочными, травяными и древесными оттенками. С оттенками чёрной смородины и кожи с перечными и табачными нотами.",Артвин,artvin-kaberne-sovinon-grand-rezerv-krasnoe-suhoe-13,artvin-kaberne-sovinon-grand-rezerv-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\artvin_kaberne_sovinon_grand_rezerv_krasnoe_suhoe_13_501fa25679.webp,ok,1,False,
Каберне совиньон Кларет,Розовое,От темно-розового до малинового,Крым,Каберне Совиньон,"В аромате тона клубники, спелых лесных ягод и ежевики. Во вкусе лёгкие танины, сбалансированная кислотность, с выраженными тонами клубники, спелых лесных ягод и ежевики.",Вилла Уркуста,villa-urkusta-kaberne-sovinon-klaret-rozovoe-polusuhoe-15,villa-urkusta-kaberne-sovinon-klaret-rozovoe-polusuhoe-15.webp,prod-svoe-vino-strapi\villa_urkusta_kaberne_sovinon_klaret_rozovoe_polusuhoe_15_03c00dd390.webp,ok,1,False,
Каберне совиньон Классик,Красное,От темно-гранатового до темно-рубинового,Крым,Каберне Совиньон,"В аромате ноты малины, черной смородины, перца, лакрицы. Во вкусе полнотелое, экстрактивное, с выраженными танинами и сбалансированной кислотностью, с тонами черной смородины, спелых красных ягод, красной сливы и черного перца.",Вилла Уркуста,villa-urkusta-kaberne-sovinon-klassik-krasnoe-suhoe-12,villa-urkusta-kaberne-sovinon-klassik-krasnoe-suhoe-12.webp,prod-svoe-vino-strapi\villa_urkusta_kaberne_sovinon_klassik_krasnoe_suhoe_12_d3c723876d.webp,ok,1,False,
Каберне совиньон Классик,Красное,От темно-гранатового до темно-рубинового,Крым,Каберне Совиньон,"В аромате ноты спелой вишни, черной смородины, прянойстепй, черного перца, лакрицы. Вкус полнотелый, экстрактивный, со сбалансированными танинами и кислотностью, с тонами ежевики, спелой вишни, черной смородины, пряностей и черного перца.",Вилла Уркуста,villa-urkusta-kaberne-sovinon-klassik-krasnoe-suhoe-139,villa-urkusta-kaberne-sovinon-klassik-krasnoe-suhoe-139.webp,prod-svoe-vino-strapi\villa_urkusta_kaberne_sovinon_klassik_krasnoe_suhoe_139_1655b82b2d.webp,ok,1,False,
Каберне Совиньон Резерв,Красное,Темный красно-рубиновый,Кубань,Каберне Совиньон,"Вкус: С округлыми танинами и сбалансированной кислотностью, с тонами фруктов и древесины, с долгим, сочным послевкусием с кофейно-дымными элементами. С оттенками черных ягод, чернослива и шоколада.",Golubitskoe Estate,golubitskoe-estate-kaberne-sovinon-rezerv-krasnoe-suhoe-125,golubitskoe-estate-kaberne-sovinon-rezerv-krasnoe-suhoe-125.webp,prod-svoe-vino-strapi\golubitskoe_estate_kaberne_sovinon_rezerv_krasnoe_suhoe_125_9afdb2e885.webp,ok,1,False,
Каберне Совиньон Резерв,Красное,Темно-рубиновый,Крым,Каберне Совиньон,"В аромате спелая чёрная смородина, черника, сафьяновая кожа, ваниль и легкие специи, сушёные травы. Вкус насыщенный, плодовый, свежий, с бархатистой терпкостью.",Alma Valley,alma-valley-kaberne-sovinon-rezerv-krasnoe-suhoe-15,alma-valley-kaberne-sovinon-rezerv-krasnoe-suhoe-15.webp,prod-svoe-vino-strapi\alma_valley_kaberne_sovinon_rezerv_krasnoe_suhoe_15_58f5256504.webp,ok,1,False,
Каберне Совиньон Резерв,Красное,Глубокий интенсивно- рубиновый,Кубань,Каберне Совиньон,"Вкус: Богатый, с яркими ягодно-фруктовыми тонами, с бархатистыми танинами и оттенками шоколада и дубовой бочки в длительном послевкусии. Насыщенный, с яркими тонами черной смородины, чернослива, ежевики, черного перца, спелой вишни, ментола, шоколада и специй.",Chateau de Talu,chateau-de-talu-kaberne-sovinon-rezerv-krasnoe-suhoe-14,chateau-de-talu-kaberne-sovinon-rezerv-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\chateau_de_talu_kaberne_sovinon_rezerv_krasnoe_suhoe_14_6106a6f6b0.webp,ok,1,False,
Каберне Совиньон Резерв,Красное,Вино густого красно-рубинового цвета.,Кубань,Каберне Совиньон,"Яркий сочный аромат раскрывается тонами черной сливы, вишни, черной смородины, шелковицы, аккуратных специй, увяленных черных ягод, тоном подлеска и сафьяна. Во вкусе полное, округлое, сбалансированное, мощное, с фруктово-джемовым профилем. Долгое фруктово-пряное послевкусие.",Усадьба Маркотх,usadba-markoth-kaberne-sovinon-rezerv-krasnoe-suhoe-13,usadba-markoth-kaberne-sovinon-rezerv-krasnoe-suhoe-vyderzhannoe-13.webp,prod-svoe-vino-strapi\usadba_markoth_kaberne_sovinon_rezerv_krasnoe_suhoe_vyderzhannoe_13_77c2e45e25.webp,ok,1,False,
Каберне Совиньон Резерв,Красное,Глубокий рубиново-красный цвет с гранатовыми оттенками.,Кубань,Каберне Совиньон,"Аромат яркий, с нотами красных фруктов, черной смородины и спелой сливы на фоне выраженных дубовых оттенков. Мягкие и яркие нотки ванили и черного перца. Вкус мощный, фруктовый, с ярким, вяжущим танином и пряным послевкусием.",Golubitskoe Estate,pomeste-golubitskoe-kaberne-sovinon-rezerv-krasnoe-suhoe-143,pomeste-golubitskoe-kaberne-sovinon-rezerv-krasnoe-suhoe-vyderzhannoe-143.webp,prod-svoe-vino-strapi\pomeste_golubitskoe_kaberne_sovinon_rezerv_krasnoe_suhoe_vyderzhannoe_143_97eb57d86b.webp,ok,1,False,
Каберне совиньон Резерва,Красное,От темно-гранатового до темно-рубинового,Крым,Каберне Совиньон,"ФЕРМЕНТАЦИЯ ра мсти тона спелой вишни, восточных специй, кожи, табачного листа, горького шоколада. ЯМБсесполнотелое, со сбалансированными танинами и кислотностью, с тонами черной смородины, спелой вишни, эвкалипта, пряностей, табачного листа и горького шоколада.",Вилла Уркуста,villa-urkusta-kaberne-sovinon-rezerva-krasnoe-suhoe-15,villa-urkusta-kaberne-sovinon-rezerva-krasnoe-suhoe-15.webp,prod-svoe-vino-strapi\villa_urkusta_kaberne_sovinon_rezerva_krasnoe_suhoe_15_9851ee4c06.webp,ok,1,False,
Каберне совиньон Розе де Сенье,Розовое,Розовато-лососевый,Крым,Каберне Совиньон,"В аромате тона сливочной карамели, земляники.Вкус лёгкий, освежающий, с тонами малины, земляники, сливок и сливочной карамели.",Вилла Уркуста,villa-urkusta-kaberne-sovinon-roze-de-sene-rozovoe-suhoe-13,villa-urkusta-kaberne-sovinon-roze-de-sene-rozovoe-suhoe-13.webp,prod-svoe-vino-strapi\villa_urkusta_kaberne_sovinon_roze_de_sene_rozovoe_suhoe_13_c58d238e0e.webp,ok,1,False,
Каберне Совиньон тихое,Красное,"красный, не насыщенный",Кубань,Каберне Совиньон,"Вино яркое, мягкое, в аромате клубника со сливками, малина, земляничные ноты, сливочность. Кислотность умеренная, послевкусие долгое.",JD winery,jd_winery_kaberne_souvignon,20260617_071733-Photoroom.webp,prod-svoe-vino-strapi\20260617_071733_Photoroom_31245772bb.webp,ok,1,False,
Каберне Совиньон экстра брют,Розовое,Вино бледно-лососевого цвета с блеском.,Крым,Каберне Совиньон,"Деликатный аромат раскрывается постепенно: сперва тона розового грейпфрута и персика, после проступают нотки красных ягод и ароматных трав. Вкус легкий, свежий, с воздушным телом, активной кислотностью и щекочущими пузырьками. Сочное напоминание о лете.",Villa di Alma,villa-di-alma-kaberne-sovinon-ekstra-bryut-rozovoe-125,villa-di-alma-kaberne-sovinon-ekstra-bryut-igristoe-ekstra-bryut-rozovoe-125.webp,prod-svoe-vino-strapi\villa_di_alma_kaberne_sovinon_ekstra_bryut_igristoe_ekstra_bryut_rozovoe_125_9921ad97ed.webp,ok,1,False,
Каберне Совиньон. Black Out,Красное,Рубиново-красный,Кубань,Каберне Совиньон,"Вкус: Округлый, бархатистый, мягкий, с фруктово-пряным профилем, шелковистыми танинами и долгим, сбалансированным послевкусием. Оттенки черной смородины, вишни, сливы, черешни, пряностей и сладких специй.",Мысхако,vinodelnya-myshako-kaberne-sovinon-black-out-krasnoe-polusuhoe-16,vinodelnya-myshako-kaberne-sovinon-black-out-krasnoe-polusuhoe-16.webp,prod-svoe-vino-strapi\vinodelnya_myshako_kaberne_sovinon_black_out_krasnoe_polusuhoe_16_c5bb09a533.webp,ok,1,False,
Каберне Совиньон. Семейный Резерв,Красное,Вино глубокого рубинового цвета с блеском.,Кубань,Каберне Совиньон,"Аромат сочный, многослойный, с узнаваемыми сортовыми тонами черной смородины, перца и терна, сдобренными оттенками табачного листа, ванили и пряностей. Концентрированный сочный вкус с благородными зрелыми танинами, яркой живой кислотностью и рельефной структурой. Элегантное и сложное вино.",Имение Сикоры,imenie-sikory-kaberne-sovinon-semeynyy-rezerv-krasnoe-suhoe-14,imenie-sikory-kaberne-sovinon-semeynyy-rezerv-krasnoe-suhoe-vyderzhannoe-14.webp,prod-svoe-vino-strapi\imenie_sikory_kaberne_sovinon_semeynyy_rezerv_krasnoe_suhoe_vyderzhannoe_14_dc4aa1ddb5.webp,ok,1,False,
Каберне Фран,Красное,Насыщенный рубиновый,Кубань,Каберне Фран,"Вкус: Полнотелое, насыщенный вкус, ноты ягод с перечными тонами. Черные и красные ягоды с тонами кофе,специй.",Винодельня Бердяева,vinodelnya-berdyaeva-kaberne-fran-krasnoe-suhoe-115,vinodelnya-berdyaeva-kaberne-fran-krasnoe-suhoe-115.webp,prod-svoe-vino-strapi\vinodelnya_berdyaeva_kaberne_fran_krasnoe_suhoe_115_f3000e7b45.webp,ok,1,False,
Каберне Фран,Красное,Насыщенно-рубиновый,Крым,Каберне Фран,"Вкус: Гармоничный, яркий, с умеренными танинами и продолжительным послевкусием. Букет диких ягод, дополненный пряными нотами и тонким акцентом кофе",Bakla Vines,bakla-vines-kaberne-fran-krasnoe-suhoe-143,bakla-vines-kaberne-fran-krasnoe-suhoe-143.webp,prod-svoe-vino-strapi\bakla_vines_kaberne_fran_krasnoe_suhoe_143_eb045e6d5d.webp,ok,1,False,
Каберне Фран,Красное,Темный красно-рубиновый,Крым,Каберне Фран,"Вкус: Насыщенный, богатый, с сочным фруктовым ядром, элегантными танинами и долгим, гладким послевкусием с ягодными и пряными нюансами. Мощный, с оттенками сухофруктов, сладких специй, граната, темных ягод, дополненных нежными ликерными нюансами.",Бельбек,belbek-kaberne-fran-krasnoe-suhoe-134,belbek-kaberne-fran-krasnoe-suhoe-134.webp,prod-svoe-vino-strapi\belbek_kaberne_fran_krasnoe_suhoe_134_bb8ab4763e.webp,ok,1,False,
Каберне Фран,Красное,Рубиново-красный,Крым,Каберне Фран,"Вкус: Интенсивный с шелковистыми танинами, свежей кислотностью и пикантными нотками сушеного орегано в живом послевкусии. Насыщенный с нотами сливы, ежевики, черешни, корицы, табака и мокрого гравия.",Bogovich Wine & Vineyard,bogovich-wine-vineyard-kaberne-fran-krasnoe-suhoe-135,bogovich-wine-vineyard-kaberne-fran-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\bogovich_wine_vineyard_kaberne_fran_krasnoe_suhoe_135_5882f6ad55.webp,ok,1,False,
Каберне Фран,Красное,Рубиновый,Кубань,Каберне Фран,"В аромате ноты малины, фиалки и черной смородины, с нюансами зеленого перца. Во вкусе полнотелое, с приятной кислотностью, средними округлыми танинами и продолжительным послевкусием красных ягод.",Собер Баш,sober-bash-kaberne-fran-krasnoe-suhoe-127,sober-bash-kaberne-fran-krasnoe-suhoe-127.webp,prod-svoe-vino-strapi\sober_bash_kaberne_fran_krasnoe_suhoe_127_b52ebced7b.webp,ok,1,False,
Каберне Фран,Красное,Рубиново-красный,Кубань,Каберне Фран,"Аромат: ноты болгарского перца, лакрицы, лимонника и соблазнительные ароматы черники, ежевики, малины.

Вкус: среднетелое, с приятной живой кислотностью, округлое вино с выраженным ягодным вкусом и бархатистыми танинами, преобладают нотки перца и вишневой косточки, земляники с оттенками табака в послевкусии.",Mantra Estate,kaberne-fran,каб фран.webp,prod-svoe-vino-strapi\kab_fran_e07141fa76.webp,ok,1,False,
Каберне Фран,Розовое,Светло-лососевый,Кубань,Каберне Фран,"В аромате ноты красных спелых ягод с тонким леденцовым оттенком. Во вкусе освежающая кислотность, ягоды и леденцы.",Собер Баш,sober-bash-kaberne-fran-rozovoe-suhoe-12,sober-bash-kaberne-fran-rozovoe-suhoe-12.webp,prod-svoe-vino-strapi\sober_bash_kaberne_fran_rozovoe_suhoe_12_4177891820.webp,ok,1,False,
Каберне Фран,Красное,Насыщенный рубиновый,Крым,Каберне Фран,"Вкус: Лесные ягоды, ноты ванили, сладкой выпечки. Насыщенный с тонами лесных ягод, малины, вишни, дополненный нотами специй и ванили.",Radio Wine,radiowine-kaberne-fran-krasnoe-suhoe-14,radiowine-kaberne-fran-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\radiowine_kaberne_fran_krasnoe_suhoe_14_cb1eb5dcb8.webp,ok,1,False,
Каберне Фран,Красное,Гранатово-рубиновый,Крым,Каберне Фран,"Вкус: Богатый, с шелковистой текстурой, фруктовым ядром и тонкими танинами в длительном послевкусии. Выразительный, гармоничный, с оттенками вишни, ежевики, пряностей, подлеска и гвоздики.",Два Сердца,dva-serdtsa-kaberne-fran-krasnoe-suhoe-14,dva-serdtsa-kaberne-fran-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\dva_serdtsa_kaberne_fran_krasnoe_suhoe_14_3cd97c037a.webp,ok,1,False,
Каберне Фран,Красное,Рубиновый,Долина Дона,Каберне Фран,"В аромате малина, черника, фиалка, зеленый перец, табак, черный шоколад и кофе. Вкус сочный с бархатистой текстурой, элегантными, шелковистыми танинами и долгим послевкусием.","Донское винодельческое хозяйство ""Эльбузд""",donskoe-vinodelcheskoe-hozyaystvo-elbuzd-kaberne-fran-krasnoe-suhoe-13,donskoe-vinodelcheskoe-hozyaystvo-elbuzd-kaberne-fran-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\donskoe_vinodelcheskoe_hozyaystvo_elbuzd_kaberne_fran_krasnoe_suhoe_13_2f331c5376.webp,ok,1,False,
Каберне Фран,Красное,Вино непрозрачного рубинового цвета.,Крым,Каберне Фран,"Тонкий элегантный аромат с оттенками черной смородины, лакрицы, джема, графита и шоколада. Вкус сбалансированный, округлый, с шелковистыми танинами, сочной кислотностью и интенсивным финишем с нюансами ягод и пряностей. Прекрасный пример работы с сортом.",Виктор Сташко,viktor-stashko-kaberne-fran-krasnoe-suhoe-145,viktor-stashko-kaberne-fran-krasnoe-suhoe-145.webp,prod-svoe-vino-strapi\viktor_stashko_kaberne_fran_krasnoe_suhoe_145_1bfa8e8a31.webp,ok,1,False,
Каберне Фран,Красное,Ярко-гранатовый,Крым,Каберне Фран,"Вкус: Мягкий, сбалансированный, с живой кислотностью и нежными танинами. Специи, красная слива, вишня и перец чили.",ESSE,esse-kaberne-fran-krasnoe-suhoe-13,esse-kaberne-fran-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\esse_kaberne_fran_krasnoe_suhoe_13_458f9c63ca.webp,ok,1,False,
Каберне Фран,Красное,Ярко-гранатовый цвет с легким фиолетовым отблеском,Крым,Каберне Фран,"Аромат ягодный, с тонами малины, специй, табака, графита и кожи.  Вкус пряный с нотками болгарского перца, с ярким и продолжительным послевкусием.",Alma Valley,alma-valley-kaberne-fran-krasnoe-suhoe-145,alma-valley-kaberne-fran-krasnoe-suhoe-145.webp,prod-svoe-vino-strapi\alma_valley_kaberne_fran_krasnoe_suhoe_145_f987d71edd.webp,ok,1,False,
Каберне Фран,Красное,Рубиновый,Кубань,Каберне Фран,"Вкус: Округлый, сбалансированный, с бархатистой текстурой, фруктовыми оттенками и шелковистыми танинами в долгом послевкусии. Ноты сухофруктов, подвяленных черных ягод, тёрна и шелковицы.",Мысхако,vinodelnya-myshako-kaberne-fran-krasnoe-suhoe-142,vinodelnya-myshako-kaberne-fran-krasnoe-suhoe-142.webp,prod-svoe-vino-strapi\vinodelnya_myshako_kaberne_fran_krasnoe_suhoe_142_57650d8a36.webp,ok,1,False,
Каберне Фран,Красное,Рубиново-красный,Ставрополье,Каберне Фран,"Вкус: С хорошей структурой, гладкими танинами, средним телом и сбалансированной яркой кислотностью. Наполнен оттенками сочной вишни, зерен граната в обрамлении цветочных нюансов, розмарина и деликатной паприки.",Ferrum Winery,ferrum-winery-kaberne-fran-krasnoe-suhoe-12,ferrum-winery-kaberne-fran-krasnoe-suhoe-12.webp,prod-svoe-vino-strapi\ferrum_winery_kaberne_fran_krasnoe_suhoe_12_9890e1cced.webp,ok,1,False,
Каберне Фран,Красное,Тёмно-гранатовый,Кубань,Каберне Фран,"В аромате лесные красные ягоды. Во вкусе округлое, структурное, с хорошим балансом танинов и кислотности. длительное послевкусие чёрных спелых ягод.",Собер Баш,sober-bash-kaberne-fran-krasnoe-suhoe-13,sober-bash-kaberne-fran-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\sober_bash_kaberne_fran_krasnoe_suhoe_13_7b677af99d.webp,ok,1,False,
Каберне Фран,Красное,Рубиновый с бордовыми оттенками,Кубань,Каберне Фран,"Вкус: Насыщенный, с выразительным фруктово-пряным послевкусием. С яркими нотками специй, шоколада и оттенками красных ягод",Chateau Andre,chateau-andre-kaberne-fran-krasnoe-suhoe-14,chateau-andre-kaberne-fran-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\chateau_andre_kaberne_fran_krasnoe_suhoe_14_e070a8fb44.webp,ok,1,False,
Каберне Фран - Каберне Совиньон,Красное,Темно-красный,Кубань,Каберне Фран,"Вкус: Гармоничный с шелковистыми фруктовыми танинами. Красная смородина, спелая вишня, садовая ежевика.",Шато Пино,shato-pino-kaberne-fran-kaberne-sovinon-krasnoe-suhoe-135,shato-pino-kaberne-frankaberne-sovinon-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\shato_pino_kaberne_frankaberne_sovinon_krasnoe_suhoe_135_dbc6706292.webp,ok,1,False,
Каберне Фран - Мерло - Красностоп,Красное,Вино полупрозрачного рубинового цвета.,Ставрополье,Каберне Фран,"Спокойный аромат с нотами сливы, красной черешни, сушеных ягод и терпким оттенком гранатовой кожуры. Вкус ровный, легкий, с щекочущим танином и умеренной кислотностью. В послевкусии ноты черных ягод. Добротно и понятно.",Семейная винодельня Михаила Колесникова,semeynaya-vinodelnya-mihaila-kolesnikova-kaberne-fran-merlo-krasnostop-krasnoe-suhoe-148,semeynaya-vinodelnya-mihaila-kolesnikova-kaberne-fran-merlo-krasnostop-krasnoe-suhoe-148.webp,prod-svoe-vino-strapi\semeynaya_vinodelnya_mihaila_kolesnikova_kaberne_fran_merlo_krasnostop_krasnoe_suhoe_148_d6e607e493.webp,ok,1,False,
Каберне Фран 1890,Красное,Насыщенный бордовый,Крым,Каберне Фран,"Вкус: Минеральные ноты, сладковатые оттенки черных ягод, с мягкими танинами, обволакивающей текстурой и тонами пряностей в долгом послевкусии. Ноты варенья из черной мородины, оттенки ментола, ванили.",Усадьба Перовских,usadba-perovskih-kaberne-fran-1890-krasnoe-suhoe-13,usadba-perovskih-kaberne-fran-1890-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\usadba_perovskih_kaberne_fran_1890_krasnoe_suhoe_13_5b8be14ff1.webp,ok,1,False,
Каберне Фран Gunko Winery,Красное,Темно-бордовый с фиолетовым оттенком,Кубань,Каберне Фран,"Вкус: Яркий, сбалансированный, с фруктовыми тонами дикой вишни, сливы, черной смородины и малины, пряными оттенками, умеренной кислотностью, шелковистыми танинами и приятным, продолжительным послевкусием. Утонченный, с нотами вишни, черники, черной смородины, ежевики и чернослива, нотками фиалки, а также оттенками болгарского перца и специй.",Gunko Winery,gunko-winery-kaberne-fran-gunko-winery-krasnoe-suhoe-135,gunko-winery-kaberne-fran-gunko-winery-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\gunko_winery_kaberne_fran_gunko_winery_krasnoe_suhoe_135_aa5f643dca.webp,ok,1,False,
Каберне Фран авторская технология,Красное,Рубиновый,Кубань,Каберне Фран,"Вкус: Насыщенный, полный, бархатистый с длительным послевкусием. Ноты сухофруктов, уволенных черных ягод, терна, шелковицы.",Мысхако,vinodelnya-myshako-kaberne-fran-avtorskaya-tehnologiya-krasnoe-suhoe-142,vinodelnya-myshako-kaberne-fran-avtorskaya-tehnologiya-krasnoe-suhoe-142.webp,prod-svoe-vino-strapi\vinodelnya_myshako_kaberne_fran_avtorskaya_tehnologiya_krasnoe_suhoe_142_adbc6382f4.webp,ok,1,False,
Каберне Фран Резерв,Красное,Вино насыщенного рубинового цвета.,Крым,Каберне Фран,"В аромате сложное, многогранное, сортовое. Во вкусе сбалансированное, хорошо структурированное, с умеренной танинностью и длительным послевкусием.",Усадьба Перовских,perovskih_kaberne_fran_reserve,Каберне Фран_резерв.webp,prod-svoe-vino-strapi\Kaberne_Fran_rezerv_2de24730a4.webp,ok,1,False,
Каберне Фран Резерв,Красное,Рубиновый,Крым,Каберне Фран,"В аромате тона малины, специй, табака и графита. Вкус насыщенный пряный с нотками болгарского перца, с ярким послевкусием.",Alma Valley,alma-valley-kaberne-fran-rezerv-krasnoe-suhoe-15,alma-valley-kaberne-fran-rezerv-krasnoe-suhoe-15.webp,prod-svoe-vino-strapi\alma_valley_kaberne_fran_rezerv_krasnoe_suhoe_15_6ef14d79ec.webp,ok,1,False,
Каберне Фран Резерв,Красное,Глубокий интенсивно- рубиновый,Кубань,Каберне Фран,"Вкус: Мощный, яркий с округлыми танинами, сочной кислотностью, тонами ежевики, сливы и черной смородины. Стойкое послевкусие с оттенками жареных тостов, специй и копченостей. Выразительный, с оттенками сливы, ежевики и черной смородины, минеральными тонами, нотками гвоздики, корицы и легкой копчености.",Chateau de Talu,chateau-de-talu-kaberne-fran-rezerv-krasnoe-suhoe-13,chateau-de-talu-kaberne-fran-rezerv-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\chateau_de_talu_kaberne_fran_rezerv_krasnoe_suhoe_13_6dc8dcf2ec.webp,ok,1,False,
Каберне Фран розе,Розовое,Вино бледно-лососевого цвета.,Кубань,Каберне Фран,"Приятный фруктовый аромат наполнен нотами грейпфрута, сицилийского апельсина, барбариса, цветов вишни и ягодной карамели. Вкус легкий, свежий, с дерзкой пронзительной кислотностью, требующей гастрономического сопровождения.",Имение Сикоры,imenie-sikory-kaberne-fran-roze-rozovoe-suhoe-13,imenie-sikory-kaberne-fran-roze-rozovoe-suhoe-13.webp,prod-svoe-vino-strapi\imenie_sikory_kaberne_fran_roze_rozovoe_suhoe_13_4f0044a40b.webp,ok,1,False,
Каберне Фран Сикоры,Розовое,Светло-розовый,Кубань,Каберне Фран,"В аромате красные ягоды, нежные ноты розы. Вкус изящный, тонкий, с минеральной свежестью.",Имение Сикоры,imenie-sikory-kaberne-fran-sikory-rozovoe-suhoe-13,imenie-sikory-kaberne-fran-sikory-rozovoe-suhoe-13.webp,prod-svoe-vino-strapi\imenie_sikory_kaberne_fran_sikory_rozovoe_suhoe_13_734a89a002.webp,ok,1,False,
Каберне Фран. Бурлюк,Красное,Пурпурно-рубиновый,Крым,Каберне Фран,"Вкус: Насыщенный, с оттенками ягод и фруктов, с хорошим балансом кислотности и танинной терпкости, свежим, долгим послевкусием. Яркий с сочными тонами спелой вишни, сливы, темной и терпкой ежевики, кислой клюквы",Валерий Захарьин,valeriy-zaharin-kaberne-fran-burlyuk-krasnoe-suhoe-13,valeriy-zaharin-kaberne-fran-burlyuk-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\valeriy_zaharin_kaberne_fran_burlyuk_krasnoe_suhoe_13_759e000bb4.webp,ok,1,False,
Каберне. Авторское вино,Красное,Насыщенный рубиновый,Крым,Каберне Совиньон,"Пышный аромат встречает характерными для данного сорта нотками чёрной смородины, черничного джема, которые переплетаются с оттенками шелковицы и чернослива.

Мягкий и округлый вкус с приятными шелковыми танинами. Изящное послевкусие дополняется тонкими ароматами черноплодной рябины и вишневой косточки.

",Массандра,kaberne-avtorskoe-vino,Каберне.webp,prod-svoe-vino-strapi\Kaberne_d0c64468d7.webp,ok,1,False,
Кавказиан,Белое,Соломенно-зеленоватый оттенок,Дагестан,Ркацители,"Аромат цветочный. Во вкусе оттенки свежих фруктов, нюансы полевых трав, сладковатое послевкусие.",Дербент Вино,derbent-vino-kavkazian-rkatsiteli-beloe-bryut-105-125,Белое брют.webp,prod-svoe-vino-strapi\Beloe_bryut_85d083f446.webp,ok,1,False,
Кавказиан,Красное,Насыщенный красный,Дагестан,"Каберне Совиньон, Мерло, Молдова",В аромате джем и варенье. Во вкусе ноты компота сливы вишни терпкое послевкусие.,Дербент Вино,derbent-vino-kavkazian-merlo-krasnoe-polusladkoe-105-125,derbent-vino-kavkazian-merlo-krasnoe-polusladkoe-105-125.webp,prod-svoe-vino-strapi\derbent_vino_kavkazian_merlo_krasnoe_polusladkoe_105_125_d2973b5f66.webp,ok,1,False,
Кавказиан Джараули,Красное,Темно-рубиновый с гранатовым оттенком,Дагестан,"Мерло, Молдова, Саперави","Аромат насыщенный, с нотками спелых чёрных фруктов, бузины и шоколада. Вкус насыщенный с ягодными оттенками.",Дербент Вино,derbent-vino-kavkazian-dzharauli-moldova-krasnoe-polusladkoe-11,derbent-vino-kavkazian-dzharauli-moldova-krasnoe-polusladkoe-11.webp,prod-svoe-vino-strapi\derbent_vino_kavkazian_dzharauli_moldova_krasnoe_polusladkoe_11_79f7379ec0.webp,ok,1,False,
Кавказиан Ркацители,Белое,Светло-соломенный с золотистым оттенком,Дагестан,Ркацители,"В аромате оттенки мёда, сухофрукты и ананас. Вкус сбалансированный, нотки мёда и миндаля.",Дербент Вино,derbent-vino-kavkazian-rkatsiteli-beloe-suhoe-12,derbent-vino-kavkazian-rkatsiteli-beloe-suhoe-12.webp,prod-svoe-vino-strapi\derbent_vino_kavkazian_rkatsiteli_beloe_suhoe_12_88da97ff68.webp,ok,1,False,
Кавказиан Саперави,Красное,Рубиново-красный,Дагестан,Саперави,"Аромат зимних ягод и специй. Вкус ягодный, со свежей кислотностью.",Дербент Вино,derbent-vino-kavkazian-saperavi-krasnoe-suhoe-105-125,derbent-vino-kavkazian-saperavi-krasnoe-suhoe-105-125.webp,prod-svoe-vino-strapi\derbent_vino_kavkazian_saperavi_krasnoe_suhoe_105_125_f6bb126efc.webp,ok,1,False,
